	Collection name	Owner	Size (GB)	Total	Compound Objects	BMP	DB	DOC	DOCM	DOCX	GIF	HTM	HTML	JP2	JPF	JPG	LNK	M4V	MHT	MOV	MP3	MP4	Null	PDF	PNG	RAM	RM	SID	TIF	TXT	URL	WAV	WMV	XLS	XLSX
LSM_NAC	Louisiana State Museum Newcomb College Arts and Crafts	Louisiana State Museum	5.09	387	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM_NCC	Louisiana State Museum Currency Collection	Louisiana State Museum	1.49	285	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LST	Louisiana Science and Technology Collection	Louisiana State Museum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_ACT	Actors and Musicians Photographs, 1880-1920	LSU	0.01	192	64	0	0	0	0	0	0	0	0	4	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_BRT	Historic Images of Baton Rouge from LSU Libraries	LSU	0.01	14	3	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_CFF	Early Louisiana French Correspondence	LSU	0.49	527	101	0	0	0	0	0	0	0	0	1	0	316	0	0	0	0	0	0	0	101	0	0	0	0	8	0	0	0	0	0	0
LSU_CLT	Charles L. Thompson Photographs	LSU	0.02	19	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_CNP	Chickamauga and Chattanooga National Military Park Photographs	LSU	0.01	87	29	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_CWP	Civil War Photograph Album, 1862-1900	LSU	0.02	402	134	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_DYP	Donn Young Photographs	LSU	0.07	285	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_FCC	T. Harry Williams Center for Oral History Four Corners of Louisiana Collection	LSU	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
LSU_GCS	George C. Strong Photograph Album	LSU	0	44	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_GFM	George Francois Mugnier New Orleans Scenes	LSU	0.12	61	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_GSC	G. H. Suydam Photograph Album	LSU	0.06	60	20	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_HPL	Huey P. Long Photograph Album, 1928-1935	LSU	0.01	31	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_JJA	John James Audubon in Louisiana	LSU	2.23	39	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_LHC	Louis Hasslemans' Musicians Photographs	LSU	0.03	47	3	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_LNP	Louisiana Newspaper Access Program - LaNeAP	LSU	11.46	3230	80	0	0	0	0	0	0	0	0	3067	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0
LSU_MDP	Marshall Dunham Photograph Album	LSU	0.58	600	200	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_MRF	Mississippi River Flood of 1927 Photograph Album	LSU	0.02	215	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_NMI	Natchez, MS	LSU	0.28	35	7	0	0	0	0	0	0	0	0	4	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_NOE	New Orleans Centennial Exposition Stereoscopic Views	LSU	0.44	195	65	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_PVC	Louisiana Ecology and Conservation, The Percy Viosca Jr. Collection	LSU	1.15	1097	0	0	0	0	0	0	0	0	0	0	0	1096	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LSU_RBC	LSU Libraries' Rare Books Collection - Selected materials	LSU	0.28	537	2	0	0	0	0	0	0	0	0	224	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_RBO	T. Harry Williams Center for Oral History Floods, Storms and Levee Breaks	LSU	0.08	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
LSU_SCE	LSU Special Collections Online	LSU	0.2	100	14	0	0	0	0	0	0	0	0	57	0	3	0	0	0	0	0	0	0	14	0	11	0	0	1	0	0	0	0	0	0
LSU_TJP	Thomas H. and Joan W. Gandy Photograph Collection	LSU	0.17	161	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_UAP	LSU University Archives Photographs Collection	LSU	25.23	1239	200	0	0	0	0	0	0	0	0	314	0	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU_WLS	John Langdon Ward Lantern Slides	LSU	0.01	107	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUBK01	Aristides Agramonte Yellow Fever Collection	LSUHSCNO	16.22	12058	136	0	0	0	0	0	0	0	0	11908	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
LSUHSC_NCC	LSU Health Sciences Center New Orleans Newspaper Clippings Collection	LSUHSCNO	6.44	7749	228	0	0	0	0	0	0	0	0	3252	0	4266	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
LSUHSCS_GWM	LSU Health Sciences Center Shreveport Photograph Collection	LSUHSCS	0.14	853	0	0	0	0	0	0	0	0	0	39	0	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUHSCS_JCM	John C. McDonald	LSUHSCS	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUS_TBP	Tom Bell Papers, 1895-1999	LSUS	0.04	168	7	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LWP	Louisiana Works Progress Administration (WPA)	State Library 	2.44	10273	1445	0	0	0	0	0	0	0	0	27	0	8801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMF	Medieval Manuscript Facsimiles Inventory	LSU	4.14	138	29	0	0	0	0	0	0	0	0	36	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPA	Millspaugh Photographs	Northwestern State University	0.02	168	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPF	Martin-Pugh Family Papers	Nicholls	0	6	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSW	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LSU	0.96	238	1	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCC	Natchitoches Chamber of Commerce Collection	Northwestern State University	0.06	400	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewOrleans	New Orleans Image Collections at the LSU Libraries	LSU	0.08	61	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOD																																			
NONegExposures	New Orleans Negative Exposures and Prints, circa 1900-1930	LSU	0.01	65	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWM	Northwest Louisiana Map Collection	LSUS	0.14	71	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OMSA	Ogden Museum of Southern Art	UNO	0.54	486	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0
OSC	Olide Schexnayder Collection	Louisiana State Museum	0.14	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0
p120701coll10	Griffin 1932 Flood Collection	ULM	3.29	310	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll11	Israel Shreve Letters	La Tech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll12	LSU Libraries Louisiana and Lower Mississippi Valley Collections	LSU	0.58	347	19	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll13	Louisiana Hurricane Resources	UNO	0.21	259	4	0	0	0	0	0	0	0	0	1	0	217	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
p120701coll14	Louisiana State Sovereignty Commission Pamphlets of the Civil Rights Era	McNeese	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll15	Abe L. Shushan Collection	UNO	0.06	424	4	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll17	Anthony J. Stanonis Pamphlet Collection	Loyola	0.29	34	1	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
p120701coll18	Louisiana State Museum Trade Labels	Louisiana State Museum	0.49	330	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll19	Sidonie de la Houssaye Collection	LSU	5.09	5279	75	0	0	0	0	0	0	0	0	0	0	5128	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0
p120701coll20	Charity Hospital Archive	LSUHSCNO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll21																																			
p120701coll22	T. Harry Williams Center for Oral History Military History Collection	LSU	0.07	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0
p120701coll23	T. Harry Williams Center for Oral History University History Collection	LSU	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
p120701coll24	LSU University Archives Print Materials Collection	LSU	0.17	218	11	0	0	0	0	0	0	0	0	35	0	171	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p120701coll25	United States House and Senate Committee Hearings and Publications	UNO	62.96	1569	1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll26	Graduation Programs of the LSU Health Sciences Center, New Orleans	LSUHSCNO	0.15	2038	149	0	0	0	0	0	0	0	0	0	0	1889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll27	Loyola University New Orleans Athletics Collection	Loyola	13.5	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll28	Joseph-Aurélien Cornet, F.S.C. Collection	Loyola	8.83	7231	41	0	0	0	0	0	0	0	0	7190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll29	Isidore Newman School Archives	UNO	0.26	178	23	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll6	LSU TEST	LSU	0.22	186	8	0	0	0	0	0	0	0	0	10	3	146	0	0	0	0	1	0	0	17	0	0	0	0	0	0	1	0	0	0	0
p120701coll7	LSU School of Dentistry Historic Photographs	LSUHSCNO	0.01	82	6	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll8	Telling-Grandon Scrapbook	UNO	0.55	156	1	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p120701coll9	Lafcadio Hearn Correspondence	Loyola	0.62	61	10	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll1	John T. Mendes Photograph Collection	HNOC	0.54	609	0	0	0	0	0	0	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll10	Civil War Context and Conflict at LSU Libraries	LSU	24.6	4314	128	0	0	0	0	0	0	0	0	4173	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
p15140coll11	LSU Libraries Political Papers Collection	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll12	'Andrew D. Lytle's Baton Rouge' Photograph Collection	LSU	0.9	799	0	0	0	0	0	0	0	0	0	799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll13	LSU Libraries Exhibitions	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll14	T. Harry Williams Center for Oral History Political Collection	LSU	0.77	17	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0
p15140coll16	Tiger Rag – Student newspapers of LSU School of Medicine, New Orleans	LSUHSCNO	0.9	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0	0	0	0	0	0	0	0	0	0	0
p15140coll17	LSU Libraries Mardi Gras Collection	LSU	1.52	431	24	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
p15140coll18	Hermann Moyse, Sr. World War I Collection	LSU	12.04	1414	20	0	0	0	0	0	0	0	0	1394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll19	William Branks Stewart Collection	LSUHSCNO	0	29	6	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll2	History of Louisiana Dental Education Archives	LSUHSCNO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll20	T. Harry Williams Center for Oral History Presentations and Publications	LSU	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
p15140coll21	Louisiana Sea Grant Digital Images Collection	LSU	5.34	2262	0	0	0	0	0	0	0	0	0	2262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll22	Louisiana State Museum Historical Center	Louisiana State Museum	0.01	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
p15140coll23	LSU Health Sciences Center Shreveport Newspaper Clippings	LSUHSCS	1.04	3421	1651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1770	0	0	0	0	0	0	0	0	0	0	0
p15140coll26	Edna Tiny Tarbutton Collection	ULM	15.27	934	13	0	0	0	0	0	0	0	0	920	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll27	Northeast Louisiana Historic Images Collection	ULM	1.83	363	8	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll28	Maps from the Historic New Orleans Collection	HNOC	0.69	122	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll30	Aleman Estate (Hathaway Gibbens) Collection	UNO	1.32	214	71	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll31	Judge John Minor Wisdom Collection	UNO	21.69	1438	221	0	0	0	0	0	0	0	0	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll32	UNO Test Collection	UNO	0.17	91	1	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll33	Jay Dearborn Edwards Photograph Collection	HNOC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll35	Louisiana Sea Grant Digital Maps Collection	LSU	6.54	213	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll36	Louisiana Sea Grant Multimedia Collection	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll4	Orleans Parish School Board Meeting Minutes	UNO	16.31	7528	18	0	0	0	0	0	0	0	0	7510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll41	Louisiana Early English Corpus	LSU	1.25	1161	220	0	0	0	0	0	0	0	0	529	0	1	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0
