Collection name	Owner	Size (GB)	Total	Compound Objects	BMP	DB	DOC	DOCM	DOCX	GIF	HTM	HTML	JP2	JPF	JPG	LNK	M4V	MHT	MOV	MP3	MP4	Null	PDF	PNG	RAM	RM	SID	TIF	TXT	URL	WAV	WMV	XLS	XLSX
Chickamauga and Chattanooga National Military Park Photographs	LSU	0.01	87	29	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Civil War Context and Conflict at LSU Libraries	LSU	24.6	4314	128	0	0	0	0	0	0	0	0	4173	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
Civil War Photograph Album, 1862-1900	LSU	0.02	402	134	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clarence John Laughlin Photograph Collection	HNOC	11.89	1878	0	0	0	0	0	0	0	0	0	1878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col. Joseph S. Tate Photograph Album	LSU	34.88	103	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cole Coleman Photographs	Tulane	0.18	560	0	0	0	0	0	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Collected Historical Documents from the A.P. Tureaud Papers	Tulane	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collection de caricatures et de charges pour servir à l'histoire de la guerre et	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colville River Delta, Alaska Collection	LSU	0	2142	0	0	0	0	0	0	2116	0	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
David R. Williams Collection	ULL	0.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Designing Carnival- Mardi Gras Costume and Float Designs	HNOC	0.09	76	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diacritics TEST Armand Duplantier Family Letters, LSU Libraries	LSU	0.25	641	93	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0
Donn Young Photographs	LSU	0.07	285	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doussan family papers, 1827-1872	LSU	0.28	455	94	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Driftwood - Student newspapers at the University of New Orleans	UNO	0.04	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Early Images of Latin America	Tulane	9.72	1680	0	0	0	0	0	0	0	0	0	1678	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Early Louisiana French Correspondence	LSU	0.49	527	101	0	0	0	0	0	0	0	0	1	0	316	0	0	0	0	0	0	0	101	0	0	0	0	8	0	0	0	0	0	0
Edith Dabney Doll Collection	LSU	0.34	416	82	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edna Tiny Tarbutton Collection	ULM	15.27	934	13	0	0	0	0	0	0	0	0	920	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ernest J. Gaines Papers	ULL	0.05	59	3	0	0	0	0	0	0	0	0	33	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Essai d'Anatomie	Tulane	0.12	28	1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ex Parte Plessy (Plessy v. Ferguson)	UNO	0.13	159	14	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fonville Winans’ Aerial Views of Baton Rouge	LSU	8.05	459	0	0	0	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frances B. Johnston Photograph Collection	Louisiana State Museum	0.04	438	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frank B. Moore Collection	UNO	0.09	545	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Free People of Color in Louisiana	LSU	25.31	31938	1885	0	0	0	0	0	0	0	0	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
French Colonial, Spanish Colonial, and Nineteenth-Century Louisiana Documents	Tulane	3.14	1510	122	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	1359	0	0	0	0	0	0	0	0	0	0	0
G. H. Suydam Photograph Album	LSU	0.06	60	20	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Generic Collection Template (Dublin 2)	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
George C. Strong Photograph Album	LSU	0	44	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
George Francois Mugnier Collection	Louisiana State Museum	0.1	1174	0	0	0	0	0	0	0	0	0	0	0	1174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
George Francois Mugnier New Orleans Scenes	LSU	0.12	61	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Germany’s Wild Medicinal Plants (Deutschlands wildwachsende Arzney-Pflanzen)	Loyola	0.23	49	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Graduation Programs of the LSU Health Sciences Center, New Orleans	LSUHSCNO	0.15	2038	149	0	0	0	0	0	0	0	0	0	0	1889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gras-Lauzin Family Papers	LSU	0.36	357	70	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
Great Southern Lumber Company, 1924-1938	LSU	0.06	128	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Griffin 1932 Flood Collection	ULM	3.29	310	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guiseppe Ferrata Score Collection	Tulane	0.19	78	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0
Gulf South Decorative and Fine Arts Database	HNOC	34.88	8533	949	0	0	0	0	0	0	0	0	7584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gumbo - Louisiana State University's Yearbook	LSU	33.01	38762	102	0	0	0	0	0	0	0	0	38660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harper's Weekly Journal of Civilization and Frank Leslie's Illustrated Newspaper	SUBR	0.34	490	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hebert Nuremburg Files	LSU	0.1	467	36	0	0	0	0	0	7	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hermann Moyse, Sr. World War I Collection	LSU	12.04	1414	20	0	0	0	0	0	0	0	0	1394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Higgins Industries	UNO	2.14	639	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Historic Images of Baton Rouge from LSU Libraries	LSU	0.01	14	3	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Historic Louisiana Library Photographs	State Library 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Historic New Orleans Collection	HNOC	0.05	336	12	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Historic Photographs of Southwest Louisiana	McNeese	4.53	5636	2	0	0	0	0	0	52	0	0	3149	0	2376	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0
History of Louisiana Dental Education Archives	LSUHSCNO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hogan Jazz Archive Photography Collection	Tulane	39.44	2492	0	0	0	0	0	0	0	0	0	2492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huey P. Long Collection	TAHIL	0.06	213	12	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
Huey P. Long Photograph Album, 1928-1935	LSU	0.01	31	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Images from the Civil War and Reconstruction	Tulane	5.45	1061	1	0	0	0	0	0	0	0	0	1057	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Integration and the Black Experience at LSU	LSU	0.06	30	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	11	0	11	2	0	0	0	0	0	0	0	0
Isidore Newman School Archives	UNO	0.26	178	23	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Israel Shreve Letters	La Tech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jack Ritchie Collection	La Tech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jambalaya and T-Wave Yearbooks	Tulane	3.85	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0
Jay Dearborn Edwards Photograph Collection	HNOC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jesuit scrapbooks from the New Orleans Province	Loyola	0.09	260	1	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John B. Heroman, Sr. photograph collection, circa 1885-1940	LSU	6.01	815	15	0	0	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John C. McDonald	LSUHSCS	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John Gould's Birds of Great Britain	Loyola	0.27	37	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John James Audubon in Louisiana	LSU	2.23	39	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John Kennedy Toole Papers	Tulane	0.06	202	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0
John Langdon Ward Lantern Slides	LSU	0.01	107	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John Norris Teunisson Photographs	Louisiana State Museum	0.05	467	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John T. Mendes Photograph Collection	HNOC	0.54	609	0	0	0	0	0	0	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joseph Bauer Family Album	UNO	0.12	222	1	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joseph H. Fichter, S.J. Tapes	Loyola	6.07	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joseph-Aurélien Cornet, F.S.C. Collection	Loyola	8.83	7231	41	0	0	0	0	0	0	0	0	7190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Judge John Minor Wisdom Collection	UNO	21.69	1438	221	0	0	0	0	0	0	0	0	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'Acadien Yearbooks	ULL	0.3	218	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0
Lafcadio Hearn Correspondence	Loyola	0.62	61	10	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCOC - LOUIS Collection of Collections	N/A	0.01	204	0	0	0	0	0	0	0	0	0	2	0	192	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
LCOC Random image generator	N/A	0	98	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leon Trice Louisiana Political Photographs	Tulane	1.11	150	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leon Trice Photograph Collection	HNOC	0.74	832	0	0	0	0	0	0	0	0	0	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lettres de Louisiane	LSU	0.25	174	38	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0
Lindy Boggs Collection	LSUHSCNO	0.14	41	3	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lippman Collection of Civil War Postal Covers	Tulane	0.03	40	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louis Hasslemans' Musicians Photographs	LSU	0.03	47	3	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Coastal Ecology, Richard J. Russell Collection	LSU	0.24	210	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	74	0	13	0	0	0	0	0	0	0	0	0
Louisiana Decoys and Wildfowl Artifacts	HNOC	3.28	426	59	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Department of Wildlife and Fisheries Documents - LSU Libraries	LSU	2.2	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	0	0	0	0	0	0	0	0	0	0	0
Louisiana Documents of the State Library	State Library 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Early English Corpus	LSU	1.25	1161	220	0	0	0	0	0	0	0	0	529	0	1	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0
Louisiana Ephemera at the University of New Orleans	UNO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Louisiana Furniture Image Database	HNOC	0	12	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Hurricane Resources	UNO	0.21	259	4	0	0	0	0	0	0	0	0	1	0	217	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
Louisiana Menu and Restaurant Collection	Tulane	2.14	1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046	0	0	0	0	0	0	0	0	0	0	0
Louisiana Newspaper Access Program - LaNeAP	LSU	11.46	3230	80	0	0	0	0	0	0	0	0	3067	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0
Louisiana Photographs Collection	UNO	0.12	198	4	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Political Ephemera, 1860-1920	Tulane	0.45	99	18	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Purchase and Louisiana Colonial History	TAHIL	0.14	337	42	0	0	0	0	0	0	0	0	2	0	282	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Louisiana Purchase Bicentennial Collection	LSU	10.44	24553	885	0	0	0	0	0	0	0	0	12	0	23072	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	0	0	0	0
Louisiana Railroad Depot Photograph Collection	LSU	0.01	129	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Runaway Slave Advertisements, 1836-1865	LSU	0.04	354	40	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Science and Technology Collection	Louisiana State Museum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Sea Grant Digital Images Collection	LSU	5.34	2262	0	0	0	0	0	0	0	0	0	2262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Sea Grant Digital Maps Collection	LSU	6.54	213	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Sea Grant Multimedia Collection	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana Sheet Music	Tulane	2.42	630	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	629	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Aerial Photographs	LSU	1.19	4699	0	0	0	0	0	0	0	0	0	0	0	4699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Documents Digital Archive	State Library 	20.5	15739	87	1	1	191	10	3	0	1	1	7	0	0	0	0	587	0	0	0	0	12324	0	0	0	0	0	9	2514	0	0	3	0
Louisiana State Museum	Louisiana State Museum	0.05	100	2	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0
Louisiana State Museum Carnival Collection	Louisiana State Museum	16.81	668	0	0	0	0	0	0	0	0	0	667	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Museum Costumes and Textiles Collection	Louisiana State Museum	1.2	274	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Museum Currency Collection	Louisiana State Museum	1.49	285	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Museum Historical Center	Louisiana State Museum	0.01	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Museum Historical Map Collection	Louisiana State Museum	0.3	180	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Museum Hurricane Katrina Oral History Project	Louisiana State Museum	0	41	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0
Louisiana State Museum Jazz Collection	Louisiana State Museum	4.1	3501	0	0	0	0	0	0	0	0	0	2351	0	3	0	0	0	0	0	0	0	0	0	1147	0	0	0	0	0	0	0	0	0
Louisiana State Museum Newcomb College Arts and Crafts	Louisiana State Museum	5.09	387	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Museum Photography Collection	Louisiana State Museum	0.19	193	1	0	0	0	0	0	0	0	0	115	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Museum Trade Labels	Louisiana State Museum	0.49	330	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
